n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size,chromatic_number_norm,clique_number_norm,max_independent_set_size_norm,domination_number_norm,min_clique_cover_size_norm,chromatic_to_clique_ratio,chromatic_to_max_independent_ratio,clique_to_max_independent_ratio,domination_to_clique_ratio,min_clique_cover_to_chromatic_ratio,n_bin_medium,n_bin_large
100,1,44,37,4,72,5,0.44,0.37,0.04,0.72,0.05,1.1891891891891893,11.0,9.25,1.945945945945946,0.11363636363636363,False,False
300,0,125,105,6,291,8,0.4166666666666667,0.35,0.02,0.97,0.02666666666666667,1.1904761904761905,20.833333333333332,17.5,2.7714285714285714,0.064,True,False
50,0,22,16,3,32,4,0.44,0.32,0.06,0.64,0.08,1.375,7.333333333333333,5.333333333333333,2.0,0.18181818181818182,False,False
450,1,195,183,4,378,6,0.43333333333333335,0.4066666666666667,0.008888888888888889,0.84,0.013333333333333334,1.0655737704918034,48.75,45.75,2.0655737704918034,0.03076923076923077,False,True
400,0,151,137,6,389,7,0.3775,0.3425,0.015,0.9725,0.0175,1.102189781021898,25.166666666666668,22.833333333333332,2.8394160583941606,0.046357615894039736,False,True
50,0,20,19,5,47,6,0.4,0.38,0.1,0.94,0.12,1.0526315789473684,4.0,3.8,2.473684210526316,0.3,False,False
350,1,163,135,5,286,6,0.4657142857142857,0.38571428571428573,0.014285714285714285,0.8171428571428572,0.017142857142857144,1.2074074074074075,32.6,27.0,2.1185185185185187,0.03680981595092025,False,True
200,0,64,58,5,151,7,0.32,0.29,0.025,0.755,0.035,1.103448275862069,12.8,11.6,2.603448275862069,0.109375,True,False
500,1,226,182,5,441,6,0.452,0.364,0.01,0.882,0.012,1.2417582417582418,45.2,36.4,2.423076923076923,0.02654867256637168,False,True
25,1,14,12,4,21,4,0.56,0.48,0.16,0.84,0.16,1.1666666666666667,3.5,3.0,1.75,0.2857142857142857,False,False
150,1,76,57,3,63,5,0.5066666666666667,0.38,0.02,0.42,0.03333333333333333,1.3333333333333333,25.333333333333332,19.0,1.105263157894737,0.06578947368421052,True,False
250,0,100,92,5,210,6,0.4,0.368,0.02,0.84,0.024,1.0869565217391304,20.0,18.4,2.282608695652174,0.06,True,False
50,0,23,19,4,42,4,0.46,0.38,0.08,0.84,0.08,1.2105263157894737,5.75,4.75,2.210526315789474,0.17391304347826086,False,False
100,0,34,30,6,75,7,0.34,0.3,0.06,0.75,0.07,1.1333333333333333,5.666666666666667,5.0,2.5,0.20588235294117646,False,False
