n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
200,1,99,69,9,194,11
500,1,230,182,16,500,16
500,1,231,225,12,489,14
500,1,245,212,13,498,14
450,0,147,146,12,441,14
500,1,240,167,16,498,17
250,0,82,81,11,241,13
450,1,212,201,12,443,14
50,0,15,15,8,38,9
25,0,9,9,6,21,6
450,0,136,136,14,442,16
200,0,64,64,10,182,12
25,1,17,17,4,23,4
250,1,119,112,10,245,12
250,0,88,84,9,243,13
300,1,145,138,11,298,13
350,1,169,142,11,344,13
25,0,10,10,7,23,7
150,0,41,41,11,143,12
300,0,82,82,10,295,12
350,0,121,121,10,302,14
450,1,200,182,17,442,18
400,1,182,166,12,390,14
250,0,84,84,11,231,13
50,0,16,16,6,40,7
350,0,117,117,13,340,16
250,0,91,91,12,240,13
400,1,172,168,12,392,14
250,0,74,74,11,241,14
100,1,53,35,8,100,9
100,0,36,35,10,97,12
500,1,226,218,10,493,14
350,0,124,119,10,341,13
500,0,174,173,13,494,17
350,1,169,121,11,340,12
100,0,33,32,7,79,9
450,0,141,134,12,438,15
150,1,75,73,7,144,8
500,0,156,155,10,492,13
450,0,140,140,13,440,15
100,0,34,34,10,85,11
50,0,18,17,8,45,9
300,1,128,118,10,271,12
200,0,64,64,11,182,13
200,0,52,50,12,189,14
200,1,83,83,12,194,13
300,1,126,123,8,283,11
100,1,50,30,10,84,11
250,0,65,65,8,211,12
450,1,212,195,10,425,12
450,1,196,189,12,445,14
25,0,7,7,7,23,8
100,0,33,33,8,95,10
450,1,227,206,11,440,14
150,0,49,49,11,140,12
150,1,73,60,8,144,9
300,1,136,126,11,291,13
25,0,9,8,6,22,7
25,0,9,7,7,22,8
50,1,23,15,6,45,7
450,0,139,139,10,397,12
450,1,206,196,13,447,14
50,1,16,15,6,46,6
25,0,9,8,7,21,7
50,1,31,22,5,44,7
100,1,44,38,11,94,11
350,0,104,104,10,311,13
25,1,14,10,5,24,6
500,1,242,197,12,497,13
500,1,245,229,11,492,12
300,0,82,82,10,291,13
350,0,104,102,10,325,12
50,1,23,23,6,46,7
450,1,205,196,13,439,14
150,0,44,44,10,149,12
25,1,14,11,6,24,6
150,0,47,39,8,132,11
50,1,28,25,7,47,7
200,1,109,71,9,195,10
450,0,142,142,11,445,13
450,0,142,142,13,443,15
500,0,161,160,10,489,14
400,1,186,172,10,395,11
500,1,219,212,12,491,14
250,0,73,71,13,240,15
300,1,142,132,9,290,12
250,0,75,75,11,242,13
100,1,39,35,8,94,9
200,1,110,103,9,193,10
150,1,60,59,6,124,8
250,1,115,112,10,243,12
100,0,31,30,10,98,10
500,1,229,216,14,493,16
100,0,34,34,8,94,10
500,1,220,215,13,488,14
50,1,21,20,5,38,6
400,1,182,177,11,396,12
300,0,98,98,11,294,13
150,1,69,53,10,146,11
150,0,52,52,9,134,11
350,1,170,159,12,340,13
300,0,95,95,9,266,12
450,0,163,163,10,440,14
150,0,50,45,7,150,9
50,0,17,15,8,45,9
200,0,52,52,13,192,16
400,0,127,124,9,381,13
250,0,88,88,13,240,14
400,0,130,127,13,392,15
450,0,143,141,11,423,14
500,0,165,160,13,491,15
400,0,135,129,11,390,14
25,1,11,10,6,20,6
400,0,130,130,11,393,12
25,1,11,10,5,21,6
150,0,50,50,10,133,13
200,1,87,79,9,192,11
300,1,155,149,9,293,10
50,0,18,17,8,43,9
500,0,176,176,11,491,14
350,0,129,126,9,316,12
100,1,45,42,8,99,9
250,1,117,111,11,248,14
250,1,109,99,11,244,13
150,1,76,67,8,145,9
200,1,89,74,9,193,10
300,1,136,103,9,300,11
400,0,124,113,11,380,13
50,0,18,17,7,30,8
150,0,48,48,10,146,12
400,0,130,125,13,397,15
100,0,32,29,9,94,10
400,1,191,179,13,393,15
350,1,156,144,11,349,14
250,0,78,66,8,242,11
500,0,168,164,12,466,14
300,0,100,100,10,293,13
350,0,115,114,9,341,11
250,1,119,106,12,246,12
50,0,20,18,7,44,8
500,0,141,139,13,493,16
250,0,73,72,10,231,12
450,0,148,148,11,425,15
450,0,131,125,11,439,14
100,1,47,41,7,94,7
250,1,101,99,10,242,12
150,1,66,60,7,145,8
450,0,154,154,13,447,16
100,1,43,41,8,95,9
150,1,71,70,8,147,10
350,1,165,165,11,347,15
450,1,216,215,11,441,13
50,1,23,23,8,46,8
450,0,146,143,11,431,14
200,0,73,72,9,194,12
25,0,10,8,5,22,6
50,0,14,14,6,50,8
250,0,82,82,9,224,11
50,0,16,16,9,44,10
250,0,93,82,9,233,11
250,1,113,98,10,243,12
250,1,114,99,11,245,13
500,1,244,229,12,496,14
50,0,14,14,8,43,10
500,0,155,155,11,490,16
200,0,55,53,11,193,13
50,1,22,20,7,48,8
400,0,111,111,12,389,15
250,1,110,87,9,241,11
400,0,131,131,13,390,14
25,0,11,8,6,21,7
100,0,28,28,9,98,11
