n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
450,1,185,160,5,377,6
25,0,10,8,3,11,4
100,0,41,31,4,89,6
450,1,180,163,5,431,7
150,0,55,44,4,118,6
150,1,64,61,3,82,5
300,1,121,115,4,299,6
25,0,10,9,4,15,4
25,0,10,9,3,8,4
50,1,23,21,3,17,4
450,0,156,140,5,285,6
450,1,228,213,5,392,6
50,1,22,17,4,31,5
25,0,11,8,2,8,4
50,1,27,27,3,25,4
100,1,41,38,5,83,5
350,0,131,101,6,328,7
25,1,12,9,4,25,4
500,1,224,200,4,428,5
500,1,210,203,6,399,7
300,0,111,91,6,279,8
350,0,119,111,5,256,6
50,1,22,16,5,37,5
450,1,203,192,5,442,6
150,0,66,64,6,145,7
25,1,13,11,4,19,4
150,0,56,46,5,117,6
50,1,24,18,5,38,5
200,1,84,68,5,172,6
450,0,188,175,5,375,7
450,0,153,145,5,341,7
500,0,179,168,6,392,7
400,1,177,159,5,392,6
500,1,218,197,5,409,6
250,0,90,84,5,212,6
300,1,121,108,4,261,5
250,0,92,85,6,234,7
100,1,46,40,5,96,7
200,1,86,79,4,100,5
150,1,68,55,4,121,6
250,1,109,101,5,214,6
100,0,35,31,4,39,5
500,1,214,190,5,412,6
100,0,35,33,5,79,6
500,1,215,178,5,434,6
50,1,23,23,3,15,4
400,1,197,173,6,397,7
300,0,108,77,6,256,7
150,1,56,49,4,68,4
150,0,66,50,5,141,6
350,1,135,113,4,143,5
300,0,116,107,5,276,7
450,0,175,156,6,445,7
150,0,70,51,3,102,5
50,0,20,15,4,37,5
200,0,72,54,5,189,6
400,0,139,116,5,259,6
250,0,100,89,6,246,7
400,0,171,130,5,328,7
450,0,172,167,5,396,7
500,0,180,142,5,368,7
400,0,146,129,5,338,7
25,1,14,12,4,23,5
400,0,142,132,5,301,7
25,1,11,11,4,13,4
150,0,52,49,4,127,6
200,1,86,81,4,167,5
300,1,127,92,5,275,6
50,0,20,15,5,47,6
500,0,198,194,5,466,7
350,0,127,119,6,329,8
100,1,40,37,4,79,5
250,1,112,103,5,197,6
250,1,109,95,4,128,5
150,1,78,65,4,119,5
200,1,92,71,5,196,6
300,1,128,112,4,245,5
400,0,153,128,6,372,7
50,0,20,18,4,22,5
150,0,51,46,4,137,7
400,0,145,121,7,395,7
100,0,44,42,5,68,6
400,1,167,159,6,335,6
350,1,145,139,4,280,6
250,0,103,86,5,190,7
500,0,175,141,6,495,7
300,0,116,113,6,236,7
350,0,130,111,5,283,6
250,1,112,101,4,182,6
50,0,20,15,4,35,5
500,0,183,175,6,449,7
250,0,101,68,6,228,7
450,0,168,137,6,400,7
450,0,160,138,5,418,7
100,1,49,42,4,49,5
250,1,102,94,5,245,6
150,1,71,64,4,132,5
450,0,160,138,6,435,7
100,1,44,36,3,44,5
150,1,61,58,3,121,5
350,1,162,133,5,307,6
450,1,196,128,3,233,5
50,1,26,19,3,41,4
450,0,153,143,5,360,6
200,0,64,62,5,140,6
25,0,9,8,4,9,4
50,0,21,15,5,36,6
250,0,107,70,4,198,6
50,0,21,15,5,31,5
250,0,96,74,6,234,7
250,1,109,106,5,205,6
250,1,126,95,4,178,5
500,1,232,206,4,454,6
50,0,22,17,5,46,5
500,0,202,156,5,465,7
200,0,75,59,6,160,7
50,1,22,20,4,45,5
400,0,138,122,6,363,8
250,1,111,94,5,219,6
400,0,153,132,4,321,6
25,0,10,10,4,11,5
100,0,39,34,5,73,6
25,1,11,11,3,10,4
100,0,35,33,4,81,6
350,0,138,113,5,325,7
100,0,43,37,4,76,5
500,0,173,137,6,414,7
450,1,192,144,5,340,6
350,1,158,108,3,258,5
300,0,107,87,5,253,6
350,0,121,109,4,257,6
25,0,15,11,4,22,5
400,1,186,167,4,318,5
50,0,21,21,4,35,5
50,1,23,16,3,21,4
450,1,175,162,4,360,6
400,0,148,125,6,309,7
350,1,160,109,5,271,6
300,1,138,96,6,225,6
500,1,210,197,4,379,6
300,1,128,97,4,263,6
150,0,60,53,5,101,6
450,0,184,162,6,446,8
300,0,113,92,5,195,6
300,1,130,110,4,261,6
150,1,60,54,5,146,5
100,1,47,34,4,71,5
250,0,99,86,6,245,7
200,0,69,67,5,153,6
450,1,204,191,5,411,6
400,0,143,124,6,383,7
50,1,21,20,4,23,4
300,0,121,106,5,208,6
450,1,198,165,5,373,6
500,1,222,161,4,453,6
500,0,191,149,6,466,7
